0.04763,0.95588,47.56095,1.00000,0.83544,2
0.01947,0.05041,46.04722,0.00000,1.64783,1
0.07446,0.85463,47.49269,1.00000,0.75793,2
0.01555,0.10293,46.34389,0.00000,1.64109,1
0.05481,0.96396,49.50271,1.00000,0.58313,2
0.09054,0.55505,45.07452,1.00000,1.58236,3
0.00003,1.00000,45.31267,1.00000,1.58617,0
0.09334,0.50495,45.21319,1.00000,1.65564,3
0.01356,0.07831,45.09857,1.00000,1.69102,1
0.00003,1.00000,45.11051,1.00000,1.70544,0
0.07434,0.68448,45.58962,1.00000,1.62162,3
0.05923,0.60912,7.72568,1.00000,0.16030,4
0.09163,0.53040,49.55350,1.00000,0.68509,2
0.00000,1.00000,46.20050,1.00000,0.49651,0
0.07640,0.74613,50.49883,1.00000,0.58123,2
0.00010,1.00000,44.92099,1.00000,1.70830,0
0.08614,0.59954,10.20551,1.00000,0.17596,4
0.00001,1.00000,44.94910,1.00000,1.83771,0
0.08771,0.80319,9.81396,1.00000,0.18160,4
0.05860,0.79649,45.79878,1.00000,1.36395,3
0.00021,1.00000,43.85885,1.00000,1.79391,0
0.08693,0.94915,45.46221,1.00000,0.91984,3
0.08817,0.51179,9.82411,1.00000,0.15256,4
0.08635,0.63344,10.82044,1.00000,0.23062,4
0.00028,1.00000,45.20143,1.00000,1.71700,0
0.00034,1.00000,43.93411,1.00000,1.62367,0
0.08658,0.59080,44.46398,1.00000,1.54681,3
0.07869,0.98925,46.71612,1.00000,1.35937,3
0.05783,0.66016,9.11746,1.00000,0.17050,4
0.00312,0.22525,44.54352,0.00000,1.63215,1
0.06200,0.64164,8.53834,1.00000,0.12665,4
0.06604,0.74150,46.84363,1.00000,0.64342,2
0.09900,0.46233,44.39301,1.00000,1.63440,3
0.08760,0.59752,40.22741,1.00000,0.31497,2
0.00019,1.00000,44.49555,1.00000,1.78184,0
0.09426,0.59091,44.61190,1.00000,1.58517,3
0.03191,1.00000,46.47739,1.00000,0.00000,2
0.00014,1.00000,45.09930,1.00000,1.68123,0
0.08823,0.64000,46.46900,1.00000,0.23160,2
